event_name,start_date,end_date,location,category
Chương trình nghệ thuật kỷ niệm Ngày Giải phóng miền Nam và Quốc tế Lao động,2021-04-30,2021-04-30,Công viên phía Bắc bờ Đông cầu Rồng,Culture
Lễ hội Hoa Phong Lan toàn quốc,2021-05,2021-05,Bảo tàng Đà Nẵng,Festival
"TECHCOMBANK IRONMAN 70.3 Việt Nam, SUNRISE SPRINT, IRONKIDS",2021-05,2021-05,"Đường Võ Nguyên Giáp, quận Sơn Trà",Sport
Lễ hội Tuyệt vời Đà Nẵng 2021,2021-06,2021-06,Công viên Biển Đông và các bãi biển du lịch Đà Nẵng,Festival
"Chương trình nghệ thuật 'Rực rỡ sắc hè' và Hội thi Ban nhóm nhạc, nhóm nhảy",2021-06,2021-06,Công viên phía Nam bờ Tây cầu Rồng,Music
Vòng chung kết cuộc thi Hoa khôi Golf Việt Nam 2021,2021-05,2021-06,,Sport
Lễ hội văn hóa tại di tích Nhà thờ Tiền hiền làng An Hải và Thoại Ngọc Hầu,2021-07-14,2021-07-15,Nhà thờ Tiền hiền làng An Hải và Thoại Ngọc Hầu,Culture
Hội chợ Du lịch Quốc tế VITM Đà Nẵng 2021,2021-08,2021-08,Trung tâm Hội chợ Triển lãm,Tourism
Hội thi Dân vũ và Flashmob thanh niên năm 2021,2021-08,2021-08,Công viên phía Nam bờ Tây cầu Rồng,Culture
Chương trình nghệ thuật tuyên truyền chủ quyền biển đảo,2021-08,2021-08,,Culture
Cuộc thi Marathon Quốc tế Đà Nẵng 2021,2021-08,2021-08,Đà Nẵng,Sport
Chương trình văn nghệ và kịch tuyên truyền kỷ niệm Cách mạng Tháng Tám và Quốc khánh 2/9,2021-08,2021-08,Công viên phía Nam bờ Tây cầu Rồng,Culture
Cuộc thi Người đẹp Du lịch Việt Nam 2021,2021-08,2021-08,,Tourism
Chương trình kỷ niệm 76 năm Quốc khánh nước Cộng hòa xã hội chủ nghĩa Việt Nam,2021-09-02,2021-09-02,Công viên bờ Đông cầu Rồng,Culture
"Liên hoan Ban nhóm nhạc, nhóm nhảy quận Hải Châu lần 2",2021-10,2021-10,Công viên phía Nam bờ Tây cầu Rồng,Music
Ngày Hội Di sản Văn hóa Đà Nẵng 2021,2021-11,2021-11,Bảo tàng Đà Nẵng,Culture
Chương trình nghệ thuật kỷ niệm 77 năm Ngày thành lập Quân đội nhân dân Việt Nam,2021-12-22,2021-12-22,Vỉa hè phía Đông đường Như Nguyệt hoặc Công viên phía Nam bờ Tây cầu Rồng,Culture
Lễ hội Tận hưởng Mùa hè Đà Nẵng 2022 (Enjoy Danang Summer Festival 2022),2022-06-11,2022-08-15,Đà Nẵng,Festival
Chuỗi sự kiện Take me to the Sun,2022-06-11,2022-08-15,Đà Nẵng,Festival
Đại nhạc hội Take me to the Sun,2022-07-09,2022-07-09,"Sun Wheel, Đà Nẵng",Music
Carnival đường phố SunFest,2022-06-25,2022-07-24,Tuyến đường từ Cầu Trần Thị Lý đến Cầu Rồng,Festival
Lễ hội âm nhạc điện tử quốc tế EDM - Take me to the Sun,2022-08,2022-08,Công viên Châu Á (Asia Park),Music
Các điểm âm nhạc hai bên bờ sông Hàn,2022-06-11,2022-08-15,Hai bên bờ sông Hàn,Music
Vũ hội đường phố - Khu phố đêm An Thượng,2022-06-11,2022-08-15,Khu phố đêm An Thượng,Music
Bãi biển đêm Mỹ An,2022-06-11,2022-08-15,Bãi biển Mỹ An,Festival
Show diễn nghệ thuật 'Trận chiến ở Vương quốc Mặt Trăng',2022-04-30,,Sun World Ba Na Hills,Culture
DJ Show và Ca sĩ ngôi sao,2022-06-11,2022-08-15,Đà Nẵng,Music
Nghệ thuật sắp đặt bãi biển,2022-06-11,2022-08-15,Các bãi biển Đà Nẵng,Culture
Chuỗi sự kiện bên lề cuộc thi Nữ hoàng Yoga Việt Nam (Miss Yoga),2022-06-11,2022-08-15,Đà Nẵng,Sport
Lễ hội Việt Nam - Nhật Bản,2022-06-11,2022-08-15,Đà Nẵng,Festival
Cuộc thi Cosplay,2022-06-11,2022-08-15,Đà Nẵng,Culture
"Chương trình giao lưu văn hóa, nghệ thuật Việt Nam - Nhật Bản",2022-06-11,2022-08-15,Đà Nẵng,Culture
Không gian Văn hóa - Ẩm thực Việt Nam - Nhật Bản,2022-06-11,2022-08-15,Đà Nẵng,Food
Không gian ẩm thực truyền thống và bia quốc tế,2022-07,2022-07,Công viên Biển Đông,Food
Giao lưu Ẩm thực và Mỳ Quảng cùng Á quân MasterChef 2015,2022-07,2022-07,Công viên Biển Đông,Food
Lễ hội B'estival Ẩm thực và Bia 2022,2022-04-30,,Sun World Ba Na Hills,Food
Hội thi Điêu khắc đá mỹ nghệ Non Nước,2022-12-02,2023-03-09,"Làng nghề đá mỹ nghệ Non Nước, quận Ngũ Hành Sơn",Culture
"Chương trình văn nghệ chào Xuân Quý Mão 2023, mừng ngày thành lập Đảng",2023-01-21,2023-01-21,Công viên bờ Đông cầu Rồng,Culture
Vũ hội đường phố,2023-01-28,2023-01-28,Đường Trần Hưng Đạo,Culture
Ảo thuật đường phố,2023-01-07,2023-01-28,"Sàn cảnh quan phía Nam, bờ Tây cầu Rồng",Culture
Âm nhạc đường phố,2023-01-28,2023-01-28,"Sàn cảnh quan phía Nam, bờ Tây cầu Rồng",Music
Chương trình 'Trẩy hội đầu Xuân',2023-01,2023-01,Bảo tàng Đà Nẵng,Culture
Chương trình nghệ thuật kỷ niệm 93 năm Ngày thành lập Đảng Cộng sản Việt Nam,2023-02-03,2023-02-03,"Sàn cảnh quan vòng bán nguyệt, đường Bạch Đằng",Culture
Hội thi và Triển lãm ảnh 'Hải Châu vào Xuân',2023-02,2023-02,Công viên APEC,Culture
Lễ hội Cầu Ngư,2023-02-08,2023-02-10,Bãi biển đường Nguyễn Tất Thành,Festival
Lễ hội đình làng Thạc Gián,2023-03-06,2023-03-07,"Đình làng Thạc Gián, phường Chính Gián",Festival
Lễ hội Quán Thế Âm,2023-03-08,2023-03-10,Khu danh thắng Ngũ Hành Sơn,Festival
Khai trương mùa du lịch biển Đà Nẵng 2023,2023-04-30,2023-04-30,"Công viên Biển Đông, các bãi biển Đà Nẵng và Bán đảo Sơn Trà",Tourism
IRONMAN 70.3 Việt Nam,2023-05-07,2023-05-07,"Công viên Biển Đông, Đà Nẵng",Sport
Liên hoan phim Châu Á Đà Nẵng 2023 (DANAFF 2023),2023-05-09,2023-05-13,Nhà hát Trưng Vương và các cụm rạp tại Đà Nẵng,Culture
Lễ hội Ẩm thực Việt Nam - Quốc tế,2023-05,2023-06,Khuôn viên phía Đông cầu Rồng,Food
Lễ hội Yoga Quốc tế Đà Nẵng 2023,2023-06,2023-06,Công viên Biển Đông,Sport
Lễ hội Tận hưởng Mùa hè 2023,2023-06,2023-07,Đà Nẵng,Festival
Lễ hội Việt Nam - Nhật Bản,2023-07,2023-07,Đà Nẵng,Festival
Giải vô địch các Câu lạc bộ Dù lượn Quốc gia,2023-07,2023-07,Bán đảo Sơn Trà và bãi biển Thọ Quang,Sport
Đại hội Thể thao Học sinh Đông Nam Á lần thứ XIII,2023-08,2023-08,Đà Nẵng,Sport
Manulife Danang International Marathon 2023,2023-08-06,2023-08-06,"Công viên Biển Đông, quận Sơn Trà, Đà Nẵng",Sport
Lễ hội Du lịch Golf Đà Nẵng 2023,2023-09,2023-09,Sân golf BRG,Sport
Countdown Lễ hội 'Tết Việt 2024',2023-09,2023-09,Công viên Biển Đông; Quảng trường 2/9; đường Bạch Đằng nối dài,Festival
Lễ hội Tết Việt Giáp Thìn 2024,2024-01-26,2024-01-29,Trung tâm Hành chính huyện Hòa Vang đến Phố đêm Túy Loan,Festival
Chương trình 'Xuân Yêu Thương' mừng Xuân Giáp Thìn 2024,2024-01-26,2024-01-28,Bãi biển Mỹ An,Culture
Bắn pháo hoa chào năm mới Giáp Thìn,2024-02-10,2024-02-10,Quảng trường Bạch Đằng; Trung tâm hành chính quận Liên Chiểu; Trung tâm hành chính huyện Hòa Vang,Festival
Lễ hội Văn hóa Ẩm thực Tết Quảng Đà,2024-02-02,2024-02-17,"Chân cầu Sông Hàn, đường Trần Hưng Đạo",Food
Lễ hội Cầu ngư quận Thanh Khê,2024-02-27,2024-02-29,"Quảng trường Hà Khê, đường Nguyễn Tất Thành",Festival
Lễ hội Hiphop - RF Jam Summer Jam 2024,2024-03-10,2024-03-17,Trung tâm Hội chợ Triển lãm Đà Nẵng,Music
Chương trình kích cầu và thu hút khách du lịch Đà Nẵng,2024-03-29,,Đà Nẵng,Tourism
Cuộc thi Marathon Quốc tế Đà Nẵng 2024,2024-03-23,2024-03-24,Công viên Biển Đông và các tuyến đường,Sport
Lễ hội Quán Thế Âm Ngũ Hành Sơn 2024,2024-03-26,2024-03-29,Chùa Quán Thế Âm và Khu danh thắng Ngũ Hành Sơn,Festival
Giải đua thuyền truyền thống quận Cẩm Lệ,2024-03-31,2024-03-31,"Sông Cẩm Lệ, phường Hòa Xuân",Sport
Lễ hội đình làng Hải Châu,2024-04-11,2024-04-13,Đình làng Hải Châu,Festival
Giải Đua thuyền Rowing vô địch các tay chèo xuất sắc quốc gia,2024-04-05,2024-04-18,Hồ Đồng Nghệ,Sport
Giải Đua thuyền Canoeing vô địch các tay chèo xuất sắc quốc gia,2024-04-05,2024-04-18,Hồ Đồng Nghệ,Sport
Khai trương phố đi bộ Bạch Đằng và thí điểm dịch vụ về đêm cầu Nguyễn Văn Trỗi,2024-04-27,2024-04-27,Đường Bạch Đằng; Cầu Nguyễn Văn Trỗi,Tourism
Lễ hội Cầu ngư quận Sơn Trà,2024-04-30,2024-04-30,"Đường Nguyễn Tất Thành; Lăng Ông, phường Nại Hiên Đông",Festival
Liên hoan Văn hóa - Thể thao và phục dựng lễ hội truyền thống của người Cơ Tu,2024-04-30,2024-04-30,Huyện Hòa Vang,Culture
Giải golf tay trái W.A.G.L lần thứ 28,2024-04,2024-04,BRG Danang Golf và Bana Hills Golf Club,Sport
Fashion Voyage No.6,2024-05,2024-05,Cầu Nguyễn Văn Trỗi,Culture
Hội sách Sơn Trà,2024-04,2024-04,Công viên bờ Đông cầu Rồng,Culture
Lễ hội bóng đá Việt Nam - Brazil,2024-04-27,2024-04-28,Sân vận động Hòa Xuân,Sport
Chương trình Khai trương mùa du lịch Biển Đà Nẵng 2024,2024-04-26,2024-05-01,"Công viên Biển Đông, Bán đảo Sơn Trà và các bãi biển Đà Nẵng",Tourism
Phục dựng Lễ hội rước Mục đồng,2024-05-08,2024-05-08,"Làng Phong Lệ, xã Hòa Châu, huyện Hòa Vang",Culture
Khai trương đường hoa biển Đà Nẵng,2024-05,2024-05,Tuyến đường Hoàng Sa – Võ Nguyên Giáp,Tourism
"Cuộc thi IRONMAN 70.3 Việt Nam, SPRINT và IRONKIDS",2024-05,2024-05,Bãi tắm Sơn Thủy và các tuyến đường,Sport
Giải Taekwondo vô địch Châu Á,2024-05-14,2024-05-24,Cung Thể thao Tiên Sơn,Sport
Cuộc thi Hoa hậu Sinh viên Việt Nam 2024,2024-05-10,2024-06-10,Thành phố Đà Nẵng,Culture
Đại hội Thể thao Sinh viên Đông Nam Á,2024-06-01,2024-06-09,Đà Nẵng,Sport
Lễ hội Pháo hoa Quốc tế Đà Nẵng 2024,2024-06-08,2024-07-13,Khán đài đường Trần Hưng Đạo,Festival
Lễ hội Tận hưởng mùa hè huyện Hòa Vang,2024-06,2024-06,"Xã Hòa Bắc, huyện Hòa Vang",Festival
Liên hoan phim Châu Á DANAFF II,2024-07-02,2024-07-06,Đà Nẵng,Culture
Lễ hội Việt Nam - Nhật Bản,2024-07-04,2024-07-07,Công viên Biển Đông,Festival
Lễ hội văn hóa tại di tích Nhà thờ Tiền hiền làng An Hải và Thoại Ngọc Hầu,2024-07-10,2024-07-11,Nhà thờ Tiền hiền làng An Hải và Thoại Ngọc Hầu,Culture
VnExpress Marathon Da Nang Midnight,2024-07-13,2024-07-14,Đường ven biển và các cây cầu,Sport
Lễ hội Tận hưởng Đà Nẵng,2024-07-17,2024-07-21,"Công viên Biển Đông, các bãi biển du lịch Đà Nẵng và hai bên bờ sông Hàn",Festival
Giải vô địch Roller Sports Đông Nam Á và Giải vô địch Roller Sports Châu Á mở rộng,2024-08,2024-08,Công viên Biển Đông và các tuyến đường,Sport
Lễ hội Việt Nam - Asian,2024-08-03,2024-08-04,Công viên Châu Á,Festival
"Hội chợ Quốc tế Thương mại, Du lịch và Đầu tư Hành lang Kinh tế Đông Tây 2024",2024-08-02,2024-08-09,Trung tâm Hội chợ Triển lãm Đà Nẵng,Conference
Lễ hội Việt Nam - Hàn Quốc,2024-08-16,2024-08-18,Công viên Biển Đông,Festival
Giải BRG Open Golf Championship Danang 2024,2024-08-29,2024-09-02,Sân Golf BRG Danang Golf,Sport
Giải Đua thuyền Buồm vô địch và vô địch trẻ quốc gia; Giải Ván chèo đứng vô địch trẻ quốc gia và Cúp các câu lạc bộ toàn quốc,2024-09-10,2024-09-13,Bãi biển Thanh Khê,Sport
Liên hoan Lân Sư Rồng quận Hải Châu mở rộng,2024-09,2024-09,"Sàn cảnh quan vòng bán nguyệt, đường Bạch Đằng",Culture
Hội chợ VITM Đà Nẵng,2024-10,2024-10,Trung tâm Hội chợ Triển lãm Đà Nẵng,Tourism
Giải chạy VTV8 - Thử thách Sơn Trà,2024-12-24,2024-12-24,Bán đảo Sơn Trà,Sport
Lễ hội Đà Nẵng - Chào năm mới 2025,2024-12-25,2025-01-03,Công viên Biển Đông,Festival
Ảo thuật đường phố,2024-01,2024-09,"Sàn cảnh quan phía Nam, bờ Tây cầu Rồng (đối diện Bảo tàng Điêu khắc Chăm)",Culture
Hô hát Bài Chòi,2024-01,2024-10,"Khu vực phía Nam bờ Đông cầu Rồng, đường Trần Hưng Đạo",Culture
Âm nhạc đường phố,2024,2024,Phía Bắc hoặc phía Nam bờ Tây cầu Rồng,Music
Chương trình Random Dance Kpop,2024-03,2024-09,Công viên phía Nam bờ Tây cầu Rồng và Công viên APEC,Music
Liên hoan ảnh nghệ thuật khu vực Nam Trung Bộ và Tây Nguyên lần thứ 29,2024-03-29,2024-03-29,Công viên APEC,Culture
Chương trình Hòa tấu nhạc cụ,2024-04,2024-09,Công viên phía Nam bờ Tây cầu Rồng; Cầu Bán Nguyệt; Công viên phía Bắc bờ Đông cầu Sông Hàn,Music
Tuồng xuống phố,2024-04,2024-09,"Sàn cảnh quan công viên phía Bắc, bờ Đông cầu Sông Hàn",Culture
Vũ hội đường phố kết hợp biểu diễn nhạc hơi,2024-03,2024-08,Đường Trần Hưng Đạo (đoạn Lý Nam Đế đến Triệu Việt Vương),Culture
Đồng diễn Yoga hưởng ứng Ngày Yoga Thế giới,2024-06,2024-06,Công viên APEC,Sport
Hội thi Dân vũ và Flashmob năm 2024,2024-06,2024-06,"Sàn cảnh quan vòng bán nguyệt, đường Bạch Đằng",Culture
Chợ Tết vui phết,2024-02-11,2024-02-19,Công viên Châu Á,Festival
Lễ hội Bánh mì,2024-01,2024-03,Công viên Châu Á,Food
Tuần lễ các nước Châu Á,2024-02,2024-12,Công viên Châu Á,Culture
Đám cưới ma - Halloween,2024-10,2024-10,Công viên Châu Á,Festival
Nhạc hội WATERBOMB Hè,2024-Q2,2024-Q2,Công viên Châu Á,Music
Lễ hội EDM và Chương trình Sinh nhật 10 năm Asia Park,2024-Q3,2024-Q3,Công viên Châu Á,Music
Lễ hội Mùa xuân,2024-01-20,2024-03-31,Sun World Ba Na Hills,Festival
Chương trình tri ân người dân Đà Nẵng - Quảng Nam,2024-03-01,2024-03-31,Sun World Ba Na Hills,Tourism
Không gian Văn hóa Việt Nam,2024-02-10,2024-04-30,Sun World Ba Na Hills,Culture
Lễ hội Mùa hè,2024-04-30,2024-08-30,Sun World Ba Na Hills,Festival
Lễ hội Bia,2024-04-30,2024-08-30,Sun World Ba Na Hills,Food
Ba Na Food Tour,2024-04-30,2024-08-30,Sun World Ba Na Hills,Food
Show diễn Rối cạn Châu Âu,2024-05-01,2024-08-30,Sun World Ba Na Hills,Culture
Liên hoan Trình diễn Nghệ thuật Quốc tế Đường phố,2024-03-30,2024-08-30,Sun World Ba Na Hills,Culture
Nippon Ơi 2024,2024-06,2024-06,Mikazuki Japanese Resorts & Spa,Culture
Lễ hội Thần Tài,2024-02-11,2024-02-25,Công viên Suối khoáng nóng Núi Thần Tài,Festival
"Phiên chợ Ngày Tết - Nghinh Long, Rước Lộc",2024-01-27,2024-01-28,Bảo tàng Đà Nẵng,Culture
Hè vui khám phá,2024-06,2024-06,Bảo tàng Đà Nẵng,Culture
Ngày hội Di sản Văn hóa Đà Nẵng 2024,2024-11-22,2024-11-23,Bảo tàng Đà Nẵng,Culture
Chương trình nghệ thuật hằng đêm,2024-06,,Công viên Châu Á hoặc khu vực giao Bạch Đằng - Bình Minh 6,Music
JETSKI SHOW - Trình diễn nghệ thuật thể thao mạo hiểm quốc tế,2024-Q2,2024-Q2,Đà Nẵng,Sport
Diễn đàn các Thành phố hữu nghị và hợp tác – Đà Nẵng 2025,2025-01-16,2025-01-18,Đà Nẵng,Conference
Lễ hội Hoa,2025-01,2025-05,Sun World Bà Nà Hills,Festival
Lễ hội Thần Tài,2025-01-30,2025-02-13,Công viên Suối khoáng nóng Núi Thần Tài,Festival
Lễ hội Đình làng Túy Loan,2025-02-06,2025-02-07,Đình làng Túy Loan,Festival
Lễ hội Cầu Ngư quận Thanh Khê,2025-02-13,2025-02-17,"Quận Thanh Khê, Đà Nẵng",Festival
Lễ hội Sắc Màu Đà Nẵng,2025-03-15,2025-03-15,Đà Nẵng,Festival
Lễ hội Quán Thế Âm,2025-03-16,2025-03-18,"Ngũ Hành Sơn, Đà Nẵng",Festival
Marathon Quốc tế Đà Nẵng,2025-03-21,2025-03-23,Đà Nẵng,Sport
Bắn pháo hoa kỷ niệm 50 năm Giải phóng Đà Nẵng,2025-03-29,2025-03-29,Đà Nẵng,Festival
Diễu hành xe hoa – thuyền hoa kỷ niệm 50 năm Giải phóng Đà Nẵng,2025-03-27,2025-03-29,Đà Nẵng,Culture
Triển lãm 'Đà Nẵng – 50 năm phát triển và hội nhập',2025-03-25,2025-03-29,Đà Nẵng,Culture
Trang trí hoa và điện chiếu sáng,2025-03,2025-03,Đà Nẵng,Culture
Giải đua thuyền truyền thống Đà Nẵng mở rộng 2025 – Cúp VTV8,2025-03-30,2025-03-30,Đà Nẵng,Sport
"Trình diễn thể thao Flyboard, mô tô nước, thuyền buồm",2025-03-29,2025-03-29,Đà Nẵng,Sport
Trình diễn khiêu vũ và trượt Patin,2025-03-29,2025-03-29,Đà Nẵng,Sport
Trình diễn dù lượn có động cơ và khinh khí cầu,2025-03-29,2025-03-29,Đà Nẵng,Sport
Triển lãm 'Đà Nẵng – Xưa và nay',2025-03,2025-03,Đà Nẵng,Culture
Không gian sáng tạo nghệ thuật '50 năm thành phố Đà Nẵng',2025-03-25,2025-03-30,Đà Nẵng,Culture
Chương trình nghệ thuật 'Nửa thế kỷ Đà Nẵng ca',2025-03-26,2025-03-26,Đà Nẵng,Culture
Chương trình nghệ thuật đặc biệt,2025-03-29,2025-03-29,Đà Nẵng,Culture
Chương trình hòa nhạc Danang Concert 2025,2025-03,2025-03,Đà Nẵng,Music
Ngày chạy Olympic vì sức khỏe toàn dân,2025-03-22,2025-03-22,Đà Nẵng,Sport
Giải chạy Việt dã – Chạy vũ trang Báo Đà Nẵng,2025-03,2025-03,Đà Nẵng,Sport
Trình chiếu 3D Mapping 'Đà Nẵng họa hình xúc cảm',2025-03-27,2025-03-29,Đà Nẵng,Culture
Chiếu phim lưu động chào mừng ngày Giải phóng TP Đà Nẵng,2025-03,2025-03,Đà Nẵng,Culture
Sự kiện nhạc hội kết hợp trình diễn Drone,2025-04-30,2025-05-01,Đà Nẵng,Music
Lễ hội Đà Nẵng Food Tour,2025-03-26,2025-03-29,Đà Nẵng,Food
Đại hội Du lịch Golf Châu Á (AGTC),2025-03-30,2025-04-04,Đà Nẵng,Conference
Lễ hội Bia và Ẩm thực,2025-04,2025-09,Sun World Bà Nà Hills,Food
Lễ hội Lân Sư Rồng toàn quốc,2025-04-29,2025-05-01,Da Nang Downtown,Festival
Khai trương mùa du lịch biển,2025-04-16,2025-04-20,Đà Nẵng,Tourism
IRONMAN 70.3 Việt Nam,2025-05-11,2025-05-11,Đà Nẵng,Sport
Lễ hội Vietnam - ASEAN,2025-06-06,2025-06-07,Đà Nẵng,Festival
Lễ hội Pháo hoa Quốc tế Đà Nẵng,2025-05-31,2025-07-12,Đà Nẵng,Festival
Liên hoan Phim Châu Á lần thứ III,2025-06-29,2025-07-05,Đà Nẵng,Culture
Lễ hội Tận hưởng Đà Nẵng,2025-07-16,2025-07-20,Đà Nẵng,Festival
Lễ hội Việt Nam - Nhật Bản,2025-07,2025-07,Đà Nẵng,Festival
Lễ hội Việt Nam - Hàn Quốc,2025-08-22,2025-08-24,Đà Nẵng,Festival
"Nippon Ơi - Lễ hội Cosplay, Anime, Manga",2025-08,2025-08,Đà Nẵng,Culture
Lễ hội Bia Đức GBA,2025-10,2025-10,Đà Nẵng,Food
Lễ hội Lân Sư Rồng Quốc tế,2025-09,2025-09,Đà Nẵng,Festival
Lễ hội Đón Giáng sinh - Chào năm mới Đà Nẵng 2026,2025-12,2025-12,Đà Nẵng,Festival
Lễ hội tắt bếp Trà Kiểm,2026-03-11,2026-03-11,"Tổ dân phố Trà Kiểm, phường Hòa Xuân",Festival
Danang International Marathon 2026,2026-03-20,2026-03-22,Công viên Biển Đông,Sport
Ngày hội Bắp nếp Hội An,2026-03-21,2026-03-22,"Sân vận động, Tổ dân phố Thanh Nam, phường Hội An",Festival
Lễ hội Đình làng Bồ Bản,2026-03-28,2026-03-29,"Thôn Bồ Bản, xã Hòa Vang",Festival
Hưởng ứng Giờ Trái đất 2026,2026-03-28,2026-03-28,Phường Hội An,Other
Lễ hội Bà Thu Bồn,2026-03-28,2026-03-30,"Xã Thu Bồn, xã Nông Sơn",Festival
Lễ hội Cầu ngư - Ngày hội Văn hóa Thể thao miền biển,2026-03-31,2026-04-01,"Thôn Duy Hà, xã Thăng An",Festival
Liên hoan Ban nhóm nhạc 2026,2026-03,2026-03,Phố đi bộ Bạch Đằng,Music
Lễ hội Bóng đá Huyền thoại Thế giới,2026-03,2026-03,Sân vận động Chi Lăng,Sport
Lễ hội Quán Thế Âm Ngũ Hành Sơn,2026-04-04,2026-04-07,Khuôn viên Chùa Quán Thế Âm và Khu danh thắng Ngũ Hành Sơn,Festival
Lễ Khai năm tạ ơn rừng,2026-04-04,2026-04-05,"Làng du lịch sinh thái Rừng di sản Pơmu, xã Hùng Sơn",Culture
Lễ hội Kỳ Yên,2026-04,2026-04,Đình làng Hải Châu,Festival
Khai trương mùa du lịch biển Đà Nẵng 2026,2026-04,2026-04,Công viên Biển Đông và các bãi biển Đà Nẵng,Tourism
Lễ hội Bia và Ẩm thực,2026-04,2026-09,Sun World Bà Nà Hills,Food
Lễ hội Mì Quảng,2026-05,2026-05,Đà Nẵng,Food
IRONMAN 70.3 Vietnam 2026,2026-05,2026-05,Đà Nẵng,Sport
Lễ hội Việt Nam - ASEAN,2026-05,2026-05,Đà Nẵng,Festival
Giao lưu văn hóa Hội An - Nhật Bản lần thứ 22,2026-05-22,2026-05-24,Khu phố cổ Hội An,Culture
Ngày hội bánh dân gian phường Hội An Đông,2026-05-23,2026-05-23,Chợ Bà Lê,Food
Lễ Phật Đản 2026,2026-05-26,2026-05-31,Phường Hội An,Culture
Lễ hội Pháo hoa Quốc tế Đà Nẵng 2026,2026-05-30,2026-07-11,Phường An Hải,Festival
Tuần lễ Ta đi xe đạp lần thứ VIII - Hội An 2026,2026-06-06,2026-06-07,"Các phường Hội An, Hội An Đông, Hội An Tây",Sport
An Hải Festival 2026,2026-06-06,2026-06-14,"Công viên Biển Đông, đường Võ Nguyên Giáp và bãi biển Mỹ Khê",Festival
Lễ hội Cảm xúc mùa hè - Cù Lao Chàm 'Mùa hoa Ngô đồng đỏ',2026-06-20,2026-07-25,Xã Tân Hiệp (Cù Lao Chàm),Festival
Lễ hội Cà phê,2026-06,2026-06,Phố đi bộ Bạch Đằng,Food
Lễ hội Bia Đức Hội An 2026,2026-Q2,2026-Q2,Khu phố cổ Hội An,Food
Liên hoan nghệ thuật Tuồng và Dân ca không chuyên khu vực miền Trung - Tây Nguyên,2026-Q2,2026-Q2,Thành phố Đà Nẵng,Culture
